기업명,종목코드,회계연도,재무제표구분,항목,금액(원)
동양생명,082640,2022,손익계산서,영업수익,9000000000000
동양생명,082640,2022,손익계산서,영업이익,400000000000
동양생명,082640,2022,손익계산서,당기순이익,300000000000
동양생명,082640,2022,재무상태표,자산총계,35000000000000
동양생명,082640,2022,재무상태표,부채총계,32000000000000
동양생명,082640,2022,재무상태표,자본총계,3000000000000
동양생명,082640,2023,손익계산서,영업수익,8500000000000
동양생명,082640,2023,손익계산서,영업이익,350000000000
동양생명,082640,2023,손익계산서,당기순이익,280000000000
동양생명,082640,2023,재무상태표,자산총계,36000000000000
동양생명,082640,2023,재무상태표,부채총계,33000000000000
동양생명,082640,2023,재무상태표,자본총계,3000000000000
동양생명,082640,2024,손익계산서,영업수익,9200000000000
동양생명,082640,2024,손익계산서,영업이익,420000000000
동양생명,082640,2024,손익계산서,당기순이익,320000000000
동양생명,082640,2024,재무상태표,자산총계,37000000000000
동양생명,082640,2024,재무상태표,부채총계,33500000000000
동양생명,082640,2024,재무상태표,자본총계,3500000000000
