기업명,종목코드,회계연도,재무제표구분,항목,금액(원)
롯데손해보험,000400,2022,손익계산서,영업수익,3800000000000
롯데손해보험,000400,2022,손익계산서,영업이익,100000000000
롯데손해보험,000400,2022,손익계산서,당기순이익,80000000000
롯데손해보험,000400,2022,재무상태표,자산총계,21000000000000
롯데손해보험,000400,2022,재무상태표,부채총계,19500000000000
롯데손해보험,000400,2022,재무상태표,자본총계,1500000000000
롯데손해보험,000400,2023,손익계산서,영업수익,4000000000000
롯데손해보험,000400,2023,손익계산서,영업이익,120000000000
롯데손해보험,000400,2023,손익계산서,당기순이익,90000000000
롯데손해보험,000400,2023,재무상태표,자산총계,22000000000000
롯데손해보험,000400,2023,재무상태표,부채총계,20500000000000
롯데손해보험,000400,2023,재무상태표,자본총계,1500000000000
롯데손해보험,000400,2024,손익계산서,영업수익,4300000000000
롯데손해보험,000400,2024,손익계산서,영업이익,150000000000
롯데손해보험,000400,2024,손익계산서,당기순이익,110000000000
롯데손해보험,000400,2024,재무상태표,자산총계,23000000000000
롯데손해보험,000400,2024,재무상태표,부채총계,21000000000000
롯데손해보험,000400,2024,재무상태표,자본총계,2000000000000
