기업명,종목코드,회계연도,재무제표구분,항목,금액(원)
우리금융지주,316140,2022,손익계산서,영업수익,28000000000000
우리금융지주,316140,2022,손익계산서,영업이익,4500000000000
우리금융지주,316140,2022,손익계산서,당기순이익,3200000000000
우리금융지주,316140,2022,재무상태표,자산총계,470000000000000
우리금융지주,316140,2022,재무상태표,부채총계,442000000000000
우리금융지주,316140,2022,재무상태표,자본총계,28000000000000
우리금융지주,316140,2023,손익계산서,영업수익,30000000000000
우리금융지주,316140,2023,손익계산서,영업이익,4000000000000
우리금융지주,316140,2023,손익계산서,당기순이익,2500000000000
우리금융지주,316140,2023,재무상태표,자산총계,490000000000000
우리금융지주,316140,2023,재무상태표,부채총계,460000000000000
우리금융지주,316140,2023,재무상태표,자본총계,30000000000000
우리금융지주,316140,2024,손익계산서,영업수익,32000000000000
우리금융지주,316140,2024,손익계산서,영업이익,4200000000000
우리금융지주,316140,2024,손익계산서,당기순이익,3000000000000
우리금융지주,316140,2024,재무상태표,자산총계,510000000000000
우리금융지주,316140,2024,재무상태표,부채총계,478000000000000
우리금융지주,316140,2024,재무상태표,자본총계,32000000000000
