기업명,종목코드,회계연도,재무제표구분,항목,금액(원)
키움증권,039490,2022,손익계산서,영업수익,7500000000000
키움증권,039490,2022,손익계산서,영업이익,700000000000
키움증권,039490,2022,손익계산서,당기순이익,550000000000
키움증권,039490,2022,재무상태표,자산총계,35000000000000
키움증권,039490,2022,재무상태표,부채총계,32000000000000
키움증권,039490,2022,재무상태표,자본총계,3000000000000
키움증권,039490,2023,손익계산서,영업수익,8000000000000
키움증권,039490,2023,손익계산서,영업이익,800000000000
키움증권,039490,2023,손익계산서,당기순이익,600000000000
키움증권,039490,2023,재무상태표,자산총계,38000000000000
키움증권,039490,2023,재무상태표,부채총계,35000000000000
키움증권,039490,2023,재무상태표,자본총계,3000000000000
키움증권,039490,2024,손익계산서,영업수익,8500000000000
키움증권,039490,2024,손익계산서,영업이익,900000000000
키움증권,039490,2024,손익계산서,당기순이익,700000000000
키움증권,039490,2024,재무상태표,자산총계,41000000000000
키움증권,039490,2024,재무상태표,부채총계,37500000000000
키움증권,039490,2024,재무상태표,자본총계,3500000000000
